initial_alias,converted_alias,name,description,namespace
ENSG00000269165,None,None,None,
ENSG00000226200,ENSG00000226200,SGMS1-AS1,SGMS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49683],"ARRAYEXPRESS,ENSG"
ENSG00000231345,ENSG00000231345,BEND3P1,BEN domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45014],"ARRAYEXPRESS,ENSG"
ENSG00000227121,ENSG00000227121,LINC02672,long intergenic non-protein coding RNA 2672 [Source:HGNC Symbol;Acc:HGNC:54159],"ARRAYEXPRESS,ENSG"
ENSG00000237949,ENSG00000237949,LINC00844,long intergenic non-protein coding RNA 844 [Source:HGNC Symbol;Acc:HGNC:45031],"ARRAYEXPRESS,ENSG"
ENSG00000232682,ENSG00000232682,AL592430.2,"novel transcript, antisense to ANK3","ARRAYEXPRESS,ENSG"
ENSG00000228065,ENSG00000228065,LINC01515,long intergenic non-protein coding RNA 1515 [Source:HGNC Symbol;Acc:HGNC:51210],"ARRAYEXPRESS,ENSG"
ENSG00000226318,ENSG00000226318,RPS3AP38,ribosomal protein S3a pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:36145],"ARRAYEXPRESS,ENSG"
ENSG00000213025,ENSG00000213025,COX20P1,COX20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31435],"ARRAYEXPRESS,ENSG"
ENSG00000260400,ENSG00000260400,AL513534.3,"novel transcript, overlapping to TET1","ARRAYEXPRESS,ENSG"
ENSG00000229097,ENSG00000229097,CALM2P2,calmodulin 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1447],"ARRAYEXPRESS,ENSG"
ENSG00000272630,ENSG00000272630,AL731563.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272599,ENSG00000272599,AC016394.3,novel transcript to NUDT13,"ARRAYEXPRESS,ENSG"
ENSG00000268584,ENSG00000268584,AC073389.1,"novel transcript, antisense to USP54","ARRAYEXPRESS,ENSG"
ENSG00000272791,ENSG00000272791,AC073389.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272140,ENSG00000272140,AC022400.6,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000242338,ENSG00000242338,BMS1P4,BMS1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:23652],"ARRAYEXPRESS,ENSG"
ENSG00000235316,ENSG00000235316,DUSP8P5,dual specificity phosphatase 8 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:45003],"ARRAYEXPRESS,ENSG"
ENSG00000267957,None,None,None,
ENSG00000269772,None,None,None,
ENSG00000272692,ENSG00000272692,AC010997.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000213514,ENSG00000213514,AL731556.1,novel zinc finger pseudogene (KIAA1629),"ARRAYEXPRESS,ENSG"
ENSG00000213513,ENSG00000213513,IMPDH1P5,inosine monophosphate dehydrogenase 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33960],"ARRAYEXPRESS,ENSG"
ENSG00000228748,ENSG00000228748,AL450306.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000226381,None,None,None,
ENSG00000224886,ENSG00000224886,AL132656.1,novel pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000273372,ENSG00000273372,SFTPD-AS1,SFTPD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51589],"ARRAYEXPRESS,ENSG"
ENSG00000230091,ENSG00000230091,TMEM254-AS1,TMEM254 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27340],"ARRAYEXPRESS,ENSG"
ENSG00000271738,None,None,None,
ENSG00000271933,ENSG00000271933,AL603756.1,"novel transcript, antisense to GHITM","ARRAYEXPRESS,ENSG"
ENSG00000178429,ENSG00000178429,RPS3AP5,ribosomal protein S3A pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23744],"ARRAYEXPRESS,ENSG"
ENSG00000227896,ENSG00000227896,AL731569.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272631,ENSG00000272631,AC067750.1,"novel transcript, antisense to BMPR1A","ARRAYEXPRESS,ENSG"
ENSG00000272734,ENSG00000272734,ADIRF-AS1,ADIRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45127],"ARRAYEXPRESS,ENSG"
ENSG00000240089,ENSG00000240089,BMS1P3,BMS1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23651],"ARRAYEXPRESS,ENSG"
ENSG00000261011,ENSG00000261011,AL136982.4,"ArfGAP with GTPase domain, ankyrin repeat and PH domain family (AGAP) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000236417,ENSG00000236417,CTSLP1,cathepsin L pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2539],"ARRAYEXPRESS,ENSG"
ENSG00000261438,ENSG00000261438,AL157394.1,"novel transcript, overlapping FAS","ARRAYEXPRESS,ENSG"
ENSG00000234043,ENSG00000234043,NUDT9P1,nudix hydrolase 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28523],"ARRAYEXPRESS,ENSG"
ENSG00000236493,ENSG00000236493,EIF2S2P3,eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31664],"ARRAYEXPRESS,ENSG"
ENSG00000173088,None,None,None,
ENSG00000229417,ENSG00000229417,NPM1P25,nucleophosmin 1 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:45204],"ARRAYEXPRESS,ENSG"
ENSG00000235677,ENSG00000235677,NPM1P26,nucleophosmin 1 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:45205],"ARRAYEXPRESS,ENSG"
ENSG00000155640,None,None,None,
ENSG00000231025,None,None,None,
ENSG00000269783,None,None,None,
ENSG00000230928,ENSG00000230928,AL139241.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000224934,ENSG00000224934,AL391684.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230224,ENSG00000230224,PHBP9,prohibitin pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:39288],"ARRAYEXPRESS,ENSG"
ENSG00000272933,ENSG00000272933,AL391121.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273108,ENSG00000273108,AL121929.3,"novel transcript, antisense to SH3PXD2A","ARRAYEXPRESS,ENSG"
ENSG00000260461,ENSG00000260461,AL133355.1,"novel transcript, overlapping to OBFC1","ARRAYEXPRESS,ENSG"
ENSG00000203497,ENSG00000203497,PDCD4-AS1,PDCD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27425],"ARRAYEXPRESS,ENSG"
ENSG00000270589,ENSG00000270589,AL158163.1,"novel transcript, antisense to BBIP1","ARRAYEXPRESS,ENSG"
ENSG00000232934,ENSG00000232934,AL157786.1,"novel transcript, antisense to ACSL5","ARRAYEXPRESS,ENSG"
ENSG00000227560,ENSG00000227560,RPS15AP30,ribosomal protein S15a pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:35495],"ARRAYEXPRESS,ENSG"
ENSG00000230018,ENSG00000230018,PPIAP39,peptidylprolyl isomerase A pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:53663],"ARRAYEXPRESS,ENSG"
ENSG00000165862,None,None,None,
ENSG00000225302,None,None,None,
ENSG00000220842,ENSG00000220842,RPL21P16,ribosomal protein L21 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:31396],"ARRAYEXPRESS,ENSG"
ENSG00000255624,ENSG00000255624,AC073585.1,chromosome 10 open reading frame 88 (C10orf88) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000235245,ENSG00000235245,AL360181.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230724,ENSG00000230724,LINC01001,long intergenic non-protein coding RNA 1001 [Source:HGNC Symbol;Acc:HGNC:38540],"ARRAYEXPRESS,ENSG"
ENSG00000255026,ENSG00000255026,AC136475.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254910,ENSG00000254910,AC136475.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000251661,ENSG00000251661,AC136475.1,"novel transcript, antisense to IFITM3","ARRAYEXPRESS,ENSG"
ENSG00000255158,ENSG00000255158,AC131934.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269915,ENSG00000269915,AP006621.4,"novel transcript, antisense to EPS8L2","ARRAYEXPRESS,ENSG"
ENSG00000177236,None,None,None,
ENSG00000255142,ENSG00000255142,AP006621.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000250397,ENSG00000250397,AP006623.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000235027,ENSG00000235027,AC068580.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000184682,None,None,None,
ENSG00000232987,ENSG00000232987,LINC01219,long intergenic non-protein coding RNA 1219 [Source:HGNC Symbol;Acc:HGNC:49653],"ARRAYEXPRESS,ENSG"
ENSG00000183562,ENSG00000183562,AC131971.1,"novel transcript, antisense to NAP1L4","ARRAYEXPRESS,ENSG"
ENSG00000250404,None,None,None,
ENSG00000267940,ENSG00000267940,AC022762.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254595,ENSG00000254595,AC084337.1,voltage-dependent anion channel 1(VDAC1) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000243869,None,None,None,
ENSG00000254680,ENSG00000254680,AC079329.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000133808,None,None,None,
ENSG00000152268,None,None,None,
ENSG00000244398,ENSG00000244398,AC116533.1,ribosomal protein L36a (RPL36A) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000260196,ENSG00000260196,AC124798.1,antisense to KCNJ11 and overlapping to a novel gene,"ARRAYEXPRESS,ENSG"
ENSG00000256282,ENSG00000256282,AC112694.1,mitochondrial carrier homolog 1 (C. elegans) (MTCH1),"ARRAYEXPRESS,ENSG"
ENSG00000254966,ENSG00000254966,AC103974.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270607,ENSG00000270607,AC009549.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000224411,ENSG00000224411,HSP90AA2P,"heat shock protein 90 alpha family class A member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:5256]","ARRAYEXPRESS,ENSG"
ENSG00000242353,ENSG00000242353,RPL12P30,ribosomal protein L12 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:35970],"ARRAYEXPRESS,ENSG"
ENSG00000270903,ENSG00000270903,HNRNPA3P9,heterogeneous nuclear ribonucleoprotein A3 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:48755],"ARRAYEXPRESS,ENSG"
ENSG00000213713,ENSG00000213713,PIGCP1,phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8961],"ARRAYEXPRESS,ENSG"
ENSG00000255443,ENSG00000255443,CD44-AS1,CD44 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40133],"ARRAYEXPRESS,ENSG"
ENSG00000261355,None,None,None,
ENSG00000196559,None,None,None,
ENSG00000246250,ENSG00000246250,AC087521.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000244953,ENSG00000244953,AC087521.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000244313,ENSG00000244313,AC024293.1,ribosomal protein S10 (RPS10) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000270060,ENSG00000270060,AC090589.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000255197,ENSG00000255197,AC090559.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254602,ENSG00000254602,AP000662.1,"novel transcript, sense overlapping CLP1","ARRAYEXPRESS,ENSG"
ENSG00000214797,ENSG00000214797,AP002358.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000255139,ENSG00000255139,AP000442.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000256443,ENSG00000256443,AP003559.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269089,None,None,None,
ENSG00000269176,ENSG00000269176,AP001160.3,"novel transcript, antisense to TAF6L","ARRAYEXPRESS,ENSG"
ENSG00000256116,ENSG00000256116,AP001453.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269290,None,None,None,
ENSG00000255200,ENSG00000255200,PGAM1P8,phosphoglycerate mutase 1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:42455],"ARRAYEXPRESS,ENSG"
ENSG00000173727,ENSG00000173727,AP000769.1,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (FAU) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000260233,ENSG00000260233,ZNRD2-AS1,ZNRD2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27384],"ARRAYEXPRESS,ENSG"
ENSG00000255038,ENSG00000255038,AP006287.2,"novel transcript, antisense to SF3B2","ARRAYEXPRESS,ENSG"
ENSG00000254461,ENSG00000254461,AP001107.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254855,ENSG00000254855,AP001107.8,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000245156,ENSG00000245156,AP001107.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269990,None,None,None,
ENSG00000258297,None,None,None,
ENSG00000231793,ENSG00000231793,DOC2GP,"double C2 domain gamma, pseudogene [Source:HGNC Symbol;Acc:HGNC:37962]","ARRAYEXPRESS,ENSG"
ENSG00000255318,None,None,None,
ENSG00000255031,ENSG00000255031,AP002807.1,"novel transcript, antisense to CHKA","ARRAYEXPRESS,ENSG"
ENSG00000261625,ENSG00000261625,AP003071.4,"novel transcript, overlapping to MRGPRF","ARRAYEXPRESS,ENSG"
ENSG00000259799,None,None,None,
ENSG00000246889,ENSG00000246889,AP000487.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254682,ENSG00000254682,AP002387.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254469,ENSG00000254469,AP002495.1,Putative short transient receptor potential channel 2-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q6ZNB5],"ARRAYEXPRESS,ENSG"
ENSG00000228915,ENSG00000228915,OR7E128P,olfactory receptor family 7 subfamily E member 128 pseudogene [Source:HGNC Symbol;Acc:HGNC:15305],"ARRAYEXPRESS,ENSG"
ENSG00000215841,ENSG00000215841,AP002761.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260401,ENSG00000260401,AP002761.4,"novel transcript, overlapping to P2RY2","ARRAYEXPRESS,ENSG"
ENSG00000256148,ENSG00000256148,AP000763.2,mitochondrially encoded cytochrome c oxidase I (MT-COI) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000212961,ENSG00000212961,HNRNPA1P40,heterogeneous nuclear ribonucleoprotein A1 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:48769],"ARRAYEXPRESS,ENSG"
ENSG00000255440,ENSG00000255440,AP001085.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000227615,ENSG00000227615,AP001324.1,ribosomal protein S12 (RPS12) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000241170,ENSG00000241170,AP001992.1,ribosomal protein L31 (RPL31) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000254429,ENSG00000254429,AP001972.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272301,None,None,None,
ENSG00000255135,ENSG00000255135,AP002360.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254810,ENSG00000254810,AP001189.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254632,ENSG00000254632,AP003119.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261578,ENSG00000261578,AP003119.3,"novel transcript, overlapping to TSKU","ARRAYEXPRESS,ENSG"
ENSG00000227376,ENSG00000227376,FTH1P16,ferritin heavy chain 1 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:3986],"ARRAYEXPRESS,ENSG"
ENSG00000227097,ENSG00000227097,RPS28P7,ribosomal protein S28 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:35787],"ARRAYEXPRESS,ENSG"
ENSG00000246067,ENSG00000246067,RAB30-DT,RAB30 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48672],"ARRAYEXPRESS,ENSG"
ENSG00000254676,ENSG00000254676,AP000873.4,"novel transcript, sense overlapping PCF11","ARRAYEXPRESS,ENSG"
ENSG00000255234,ENSG00000255234,AP000446.1,"novel transcript, antisense to CCDC90B","ARRAYEXPRESS,ENSG"
ENSG00000215504,None,None,None,
ENSG00000254783,ENSG00000254783,AP003084.1,"immunoglobin superfamily, member 21 (IGSF21) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000255471,ENSG00000255471,AP001528.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000255445,ENSG00000255445,AP003072.2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 (AIMP2) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000255893,ENSG00000255893,AP000786.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000180771,None,None,None,
ENSG00000256885,None,None,None,
ENSG00000170647,None,None,None,
ENSG00000260966,ENSG00000260966,AP001486.2,"novel transcript, overlapping to DCUN1D5","ARRAYEXPRESS,ENSG"
ENSG00000254750,ENSG00000254750,CASP1P2,caspase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43776],"ARRAYEXPRESS,ENSG"
ENSG00000261098,ENSG00000261098,AP000766.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000227487,ENSG00000227487,NCAM1-AS1,NCAM1 antisense RNA1 [Source:HGNC Symbol;Acc:HGNC:48675],"ARRAYEXPRESS,ENSG"
ENSG00000270179,ENSG00000270179,AP002840.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000246100,ENSG00000246100,LINC00900,long intergenic non-protein coding RNA 900 [Source:HGNC Symbol;Acc:HGNC:27444],"ARRAYEXPRESS,ENSG"
ENSG00000231611,None,None,None,
ENSG00000254851,ENSG00000254851,AP005018.2,proprotein convertase subtilisin/kexin type 7 (PCSK7) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000254528,ENSG00000254528,AP000757.1,"novel transcript, antisense to FXYD6","ARRAYEXPRESS,ENSG"
ENSG00000243431,ENSG00000243431,RPL5P30,ribosomal protein L5 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:35837],"ARRAYEXPRESS,ENSG"
ENSG00000255176,ENSG00000255176,AP000941.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000245869,ENSG00000245869,AP004609.3,"novel transcript, antisense to CXCR5","ARRAYEXPRESS,ENSG"
ENSG00000255121,ENSG00000255121,CCDC84-DT,CCDC84 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54215],"ARRAYEXPRESS,ENSG"
ENSG00000240970,ENSG00000240970,RPL23AP64,ribosomal protein L23a pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:36552],"ARRAYEXPRESS,ENSG"
ENSG00000254428,ENSG00000254428,AP003392.1,"novel transcript, antisense to CCDC84","ARRAYEXPRESS,ENSG"
ENSG00000254909,ENSG00000254909,AP003392.2,potassium channel tetramerisation domain containing 6 (KCTD6) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000245248,ENSG00000245248,USP2-AS1,USP2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48673],"ARRAYEXPRESS,ENSG"
ENSG00000255090,None,None,None,
ENSG00000255045,ENSG00000255045,AP000866.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000254509,ENSG00000254509,AP000866.3,endothelial cell adhesion molecule (ESAM) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000254941,ENSG00000254941,AP000866.4,ring finger protein 181 (RNF181) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000203306,None,None,None,
ENSG00000255327,ENSG00000255327,LINC02697,long intergenic non-protein coding RNA 2697 [Source:HGNC Symbol;Acc:HGNC:54211],"ARRAYEXPRESS,ENSG"
ENSG00000256694,ENSG00000256694,AC026369.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000256540,ENSG00000256540,AC007406.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261799,ENSG00000261799,AC007406.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000250132,ENSG00000250132,AC004803.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000206044,None,None,None,
ENSG00000250899,ENSG00000250899,AC125807.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000227081,ENSG00000227081,AC005912.1,ribosomal protein S27 (RPS27) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000256164,None,None,None,
ENSG00000151079,ENSG00000151079,KCNA6,potassium voltage-gated channel subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:6225],"ARRAYEXPRESS,ENSG"
ENSG00000256790,None,None,None,
ENSG00000256654,ENSG00000256654,AC005906.2,"novel transcript, sense overlapping KCNA1","ARRAYEXPRESS,ENSG"
ENSG00000256433,ENSG00000256433,AC005840.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000247853,ENSG00000247853,AC006064.2,"novel transcript, antisense to CHD4","ARRAYEXPRESS,ENSG"
ENSG00000219410,ENSG00000219410,AC125494.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269892,ENSG00000269892,AC125494.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272173,ENSG00000272173,U47924.2,"novel transcript, antisense to C12orf57","ARRAYEXPRESS,ENSG"
ENSG00000272201,None,None,None,
ENSG00000256967,ENSG00000256967,AC018653.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000164845,ENSG00000164845,FAM86FP,"family with sequence similarity 86 member F, pseudogene [Source:HGNC Symbol;Acc:HGNC:42357]","ARRAYEXPRESS,ENSG"
ENSG00000249790,ENSG00000249790,AC092490.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000256720,ENSG00000256720,BTG1P1,BTG anti-proliferation factor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37692],"ARRAYEXPRESS,ENSG"
ENSG00000111788,ENSG00000111788,AC009533.1,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide like pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000256673,ENSG00000256673,AC141557.1,ovostatin (OVOS) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000214826,ENSG00000214826,DDX12P,"DEAD/H-box helicase 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:2737]","ARRAYEXPRESS,ENSG"
ENSG00000214776,ENSG00000214776,AC092821.2,alpha-2-macroglobulin like 1 pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000257027,ENSG00000257027,AC010186.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000213443,ENSG00000213443,AC007068.1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000256039,ENSG00000256039,LINC02446,long intergenic non-protein coding RNA 2446 [Source:HGNC Symbol;Acc:HGNC:53378],"ARRAYEXPRESS,ENSG"
ENSG00000256667,ENSG00000256667,KLRA1P,"killer cell lectin like receptor A1, pseudogene [Source:HGNC Symbol;Acc:HGNC:6372]","ARRAYEXPRESS,ENSG"
ENSG00000212125,ENSG00000212125,TAS2R15P,taste 2 receptor member 15 pseudogene [Source:HGNC Symbol;Acc:HGNC:19106],"ARRAYEXPRESS,ENSG"
ENSG00000261324,ENSG00000261324,AC010168.2,"novel transcript, overlapping HIST4H4","ARRAYEXPRESS,ENSG"
ENSG00000256564,ENSG00000256564,AC007552.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000256973,ENSG00000256973,AC053513.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000255864,None,None,None,
ENSG00000258546,ENSG00000258546,CENPUP2,centromere protein U pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49890],"ARRAYEXPRESS,ENSG"
ENSG00000246695,ENSG00000246695,RASSF8-AS1,RASSF8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48637],"ARRAYEXPRESS,ENSG"
ENSG00000256894,ENSG00000256894,AC022509.3,"novel transcript, antisense to SSPN","ARRAYEXPRESS,ENSG"
ENSG00000247903,ENSG00000247903,AC024896.1,"novel transcript, antisense to TM7SF3","ARRAYEXPRESS,ENSG"
ENSG00000247934,ENSG00000247934,AC022364.1,"novel transcript, antisense to CCDC91","ARRAYEXPRESS,ENSG"
ENSG00000257511,ENSG00000257511,AC084824.2,nucleosome assembly protein 1-like 1 (NAP1L1) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000258794,ENSG00000258794,DUX4L27,double homeobox 4 like 27 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:50808],"ARRAYEXPRESS,ENSG"
ENSG00000257742,None,None,None,
ENSG00000273015,ENSG00000273015,AC008124.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000257261,ENSG00000257261,AC008014.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000258352,ENSG00000258352,AC119044.1,interferon induced transmembrane protein 3 (1-8U) (IFITM3) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000268069,ENSG00000268069,AC004466.1,"novel transcript, antisense to HDAC7","ARRAYEXPRESS,ENSG"
ENSG00000240399,ENSG00000240399,AC004801.2,ribosomal protein L37 (RPL37) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000269514,ENSG00000269514,AC024257.3,"novel transcript, antisense to OR10AD1","ARRAYEXPRESS,ENSG"
ENSG00000272368,ENSG00000272368,AC074032.1,"novel transcript, antisense to CERS5","ARRAYEXPRESS,ENSG"
ENSG00000257298,ENSG00000257298,AC008147.2,"novel transcript, sense intronic to LIMA1","ARRAYEXPRESS,ENSG"
ENSG00000261586,ENSG00000261586,AC068987.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000257989,ENSG00000257989,AC078864.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000257829,ENSG00000257829,AC121757.1,"novel transcript, antisense to KRT86","ARRAYEXPRESS,ENSG"
ENSG00000257605,ENSG00000257605,AC073611.1,"novel transcript, antisense to PFDN5 and C12orf10","ARRAYEXPRESS,ENSG"
ENSG00000270175,ENSG00000270175,AC023509.3,"novel transcript, antisense to TARBP2","ARRAYEXPRESS,ENSG"
ENSG00000260470,ENSG00000260470,AC023794.7,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000179899,ENSG00000179899,PHC1P1,polyhomeotic homolog 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34502],"ARRAYEXPRESS,ENSG"
ENSG00000258199,ENSG00000258199,AC073896.4,"novel transcript, sense overlapping to SMARCC2","ARRAYEXPRESS,ENSG"
ENSG00000257303,ENSG00000257303,AC073896.2,"novel transcript, antisense to CNPY2 and CS","ARRAYEXPRESS,ENSG"
ENSG00000224713,ENSG00000224713,AC025165.1,"novel transcript, antisense to ARHGEF25","ARRAYEXPRESS,ENSG"
ENSG00000257499,None,None,None,
ENSG00000270039,ENSG00000270039,AC025165.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269903,ENSG00000269903,AC025165.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000257354,ENSG00000257354,AC048341.1,novel transcript,"ARRAYEXPRESS,ENSG"
